run_id,event_num,wrapper,container,raw_command,description,primary_program,programs,action,files,n_files,line_ranges,lines_read,search_pattern,has_shell_op,is_loop,output_tokens,run_mode,vuln_id,project,is_crash_resolved,loc_source,has_loc_context
arvo-370032378-vul-1773884362-patch,4,docker,vulnscan,"docker exec vulnscan sed -n '1300,1350p' source/pdf/pdf-interpret.c",Read pdf_tos_make_trm function around lines 1319-1336,sed,"[""sed""]",read,"[""source/pdf/pdf-interpret.c""]",1,"[[1300, 1350]]",51,,False,False,26,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1773884362-patch,5,docker,vulnscan,"docker exec vulnscan sed -n '1130,1220p' source/pdf/pdf-op-run.c",Read pdf_show_char function around lines 1145-1207,sed,"[""sed""]",read,"[""source/pdf/pdf-op-run.c""]",1,"[[1130, 1220]]",91,,False,False,26,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1773884362-patch,8,docker,vulnscan,docker exec vulnscan grep -n 'if (fontdesc->wmode ==' source/pdf/pdf-interpret.c,Find exact line numbers for wmode checks in pdf-interpret.c,grep,"[""grep""]",search,"[""source/pdf/pdf-interpret.c""]",1,[],0,if (fontdesc->wmode ==,True,False,26,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1773884362-patch,9,docker,vulnscan,docker exec vulnscan grep -n 'float adv' source/pdf/pdf-op-run.c,Find exact line number of adv declaration in pdf-op-run.c,grep,"[""grep""]",search,"[""source/pdf/pdf-op-run.c""]",1,[],0,float adv,False,False,26,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1773884362-patch,12,docker,vulnscan,"docker exec vulnscan sed -n '1324,1332p' source/pdf/pdf-interpret.c",Get exact context around the second wmode check,sed,"[""sed""]",read,"[""source/pdf/pdf-interpret.c""]",1,"[[1324, 1332]]",9,,False,False,8,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1773884362-patch,13,docker,vulnscan,"docker exec vulnscan sed -n '1142,1148p' source/pdf/pdf-op-run.c",Get exact context around adv declaration,sed,"[""sed""]",read,"[""source/pdf/pdf-op-run.c""]",1,"[[1142, 1148]]",7,,False,False,8,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1773884362-patch,15,docker,vulnscan,docker exec vulnscan cat -A source/pdf/pdf-interpret.c | sed -n '1327p',Check indentation style (tabs vs spaces) on line 1327,cat,"[""cat"", ""sed""]",read,"[""source/pdf/pdf-interpret.c""]",1,[],1,,True,False,1,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1773884362-patch,16,docker,vulnscan,docker exec vulnscan cat -A source/pdf/pdf-op-run.c | sed -n '1145p',Check indentation style on line 1145,cat,"[""cat"", ""sed""]",read,"[""source/pdf/pdf-op-run.c""]",1,[],1,,True,False,1,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True
arvo-370032378-vul-1775170272-patch,2,local,,ls /opt/agent/,List files in agent directory,ls,"[""ls""]",list,[],0,[],0,,False,False,53,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775170272-patch,5,docker,vulnscan,"docker exec vulnscan sed -n '1130,1220p' /src/mupdf/source/pdf/pdf-op-run.c",View pdf-op-run.c around the crash site (lines 1130-1220),sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-run.c""]",1,"[[1130, 1220]]",91,,False,False,48,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775170272-patch,8,docker,vulnscan,docker exec vulnscan grep -rn 'pdf_tos_make_trm' /src/mupdf/source/pdf/,Find pdf_tos_make_trm definition,grep,"[""grep""]",search,[],0,[],0,pdf_tos_make_trm,False,False,8,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775170272-patch,9,docker,vulnscan,"docker exec vulnscan sed -n '1308,1380p' /src/mupdf/source/pdf/pdf-interpret.c",View pdf_tos_make_trm function implementation,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-interpret.c""]",1,"[[1308, 1380]]",73,,False,False,67,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775170272-patch,12,docker,vulnscan,"docker exec vulnscan sed -n '560,590p' /src/mupdf/source/pdf/pdf-op-filter.c",View the other caller of pdf_tos_make_trm,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-filter.c""]",1,"[[560, 590]]",31,,False,False,1,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775170272-patch,15,docker,vulnscan,"docker exec vulnscan sed -n '1305,1315p' /src/mupdf/source/pdf/pdf-interpret.c",Get exact lines around pdf_tos_make_trm for the patch,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-interpret.c""]",1,"[[1305, 1315]]",11,,False,False,8,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775456647-patch,4,docker,vulnscan,"docker exec vulnscan sed -n '1130,1220p' /src/mupdf/source/pdf/pdf-op-run.c",Read pdf-op-run.c around crash site lines 1130-1220,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-op-run.c""]",1,"[[1130, 1220]]",91,,False,False,8,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775456647-patch,7,docker,vulnscan,"docker exec vulnscan grep -rn ""pdf_tos_make_trm"" /src/mupdf/source/pdf/",Find pdf_tos_make_trm definition,grep,"[""grep""]",search,[],0,[],0,pdf_tos_make_trm,False,False,8,patch,370032378,mupdf,1.0,,False
arvo-370032378-vul-1775456647-patch,8,docker,vulnscan,"docker exec vulnscan sed -n '1300,1380p' /src/mupdf/source/pdf/pdf-interpret.c",Read pdf_tos_make_trm implementation,sed,"[""sed""]",read,"[""/src/mupdf/source/pdf/pdf-interpret.c""]",1,"[[1300, 1380]]",81,,False,False,59,patch,370032378,mupdf,1.0,,False
