run_id,run_mode,vuln_id,project,is_crash_resolved,loc_source,has_loc_context,n_commands,n_read,n_search,n_list,n_edit,n_build,n_test,n_vcs,n_navigate,n_other,n_distinct_files,n_file_touches,n_files_read,n_files_edited,lines_read_total,mean_read_span,read_to_search,depth_reads_per_file,frac_loops,frac_shell_ops,top_file,top_file_touches,agent_output_tokens,n_text,n_thinking,n_tool_use,n_unknown_tool,compiled,edited,result_status,result_has_output,n_result_items,n_result_files,result_files,patch_n_hunks,patch_added_lines,patch_removed_lines,loc_mean_confidence,loc_n_line_refs,root_cause_chars,result_files_investigated_frac
arvo-370032378-vul-1773884362-patch,patch,370032378,mupdf,,arvo-370032378-vul1772810214,True,8,6,2,0,0,0,0,0,0,0,2,8,2,0,160,26.7,3.0,3.0,0.0,0.375,source/pdf/pdf-interpret.c,4,122,8,3,8,0,False,False,PATCH_READY,True,2,2,"['pdf-interpret.c', 'pdf-op-run.c']",2,2,2,,0,0,1.0
arvo-370032378-vul-1775170272-patch,patch,370032378,mupdf,1.0,,False,6,4,1,1,0,0,0,0,0,0,3,4,3,0,206,51.5,4.0,1.33,0.0,0.0,/src/mupdf/source/pdf/pdf-interpret.c,2,185,7,4,6,0,False,False,PATCH_READY,True,1,1,['pdf-interpret.c'],1,2,0,,0,0,1.0
arvo-370032378-vul-1775456647-patch,patch,370032378,mupdf,1.0,,False,5,4,1,0,0,0,0,0,0,0,3,4,3,0,206,51.5,4.0,1.33,0.0,0.0,/src/mupdf/source/pdf/pdf-interpret.c,2,84,6,3,5,0,False,False,PATCH_READY,True,1,1,['pdf-interpret.c'],1,2,0,,0,0,1.0
arvo-370032378-vul1772810214,loc,370032378,mupdf,,,,17,9,7,1,0,0,0,0,0,0,6,14,4,0,310,34.4,1.29,1.5,0.0,0.118,/src/mupdf/source/pdf/pdf-op-run.c,4,308,10,5,17,0,False,False,LOCALIZED,True,2,2,"['pdf-interpret.c', 'pdf-op-run.c']",0,0,0,95.0,4,633,1.0
arvo-419085594-vul-1773872761-patch,patch,419085594,php-src,,arvo-419085594-vul1772731654,True,48,28,15,0,2,0,0,2,0,1,7,47,3,2,753,26.9,1.87,4.0,0.0,0.333,Zend/zend_vm_def.h,22,713,21,23,48,0,False,True,PATCH_READY,True,2,2,"['zend_vm_def.h', 'zend_vm_execute.h']",2,12,0,,0,0,1.0
arvo-419085594-vul-1775194674-patch,patch,419085594,php-src,,,False,24,14,8,2,0,0,0,0,0,0,4,22,4,0,549,39.2,1.75,3.5,0.0,0.042,/src/php-src/Zend/zend_vm_execute.h,8,622,13,6,24,0,False,False,PATCH_READY,True,2,2,"['zend_vm_def.h', 'zend_vm_execute.h']",6,12,0,,0,0,1.0
arvo-419085594-vul-1775486034-patch,patch,419085594,php-src,,,False,38,24,14,0,0,0,0,0,0,0,4,38,4,0,692,28.8,1.71,6.0,0.0,0.0,/src/php-src/Zend/zend_vm_execute.h,22,831,16,15,38,0,False,False,,False,0,0,[],0,0,0,,0,0,
arvo-419085594-vul1772731654,loc,419085594,php-src,,,,13,9,3,1,0,0,0,0,0,0,5,13,5,0,309,34.3,3.0,1.8,0.0,0.0,/src/php-src/Zend/zend_execute.c,5,92,11,5,13,0,False,False,LOCALIZED,True,2,2,"['zend_vm_def.h', 'zend_vm_execute.h']",0,0,0,97.0,6,836,1.0
arvo-420248736-vul1773004276,loc,420248736,libxml2,,,,15,10,3,2,0,0,0,0,0,0,3,12,3,0,421,42.1,3.33,3.33,0.0,0.067,/src/libxml2/valid.c,7,186,13,9,15,0,False,False,LOCALIZED,True,1,1,['valid.c'],0,0,0,95.0,1,381,1.0
arvo-424242614-vul-1773830022-patch,patch,424242614,libxml2,,arvo-424242614-vul1772644045,True,12,8,2,0,1,0,0,1,0,0,1,12,1,1,133,16.6,4.0,8.0,0.0,0.167,parser.c,12,90,13,5,13,1,False,True,PATCH_READY,True,1,1,['parser.c'],1,1,1,,0,0,1.0
